Tool,Measurement Type,Load Level,Events/sec (workload),CPU %,Peak RSS (MB),Drop Rate %,p99 Latency (us),Notes
ebpf-guard,algorithm-only,single-thread,43725404,<1,<50,0,22.87,rule_eval=22.87ns path_filter=8.544ns buf_add=51.89ns profiler=N/Ans
Falco 0.38.1,end-to-end,~1k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tetragon 1.1.0,end-to-end,~1k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tracee 0.21.0,end-to-end,~1k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Falco 0.38.1,end-to-end,~10k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tetragon 1.1.0,end-to-end,~10k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tracee 0.21.0,end-to-end,~10k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Falco 0.38.1,end-to-end,~100k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tetragon 1.1.0,end-to-end,~100k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
Tracee 0.21.0,end-to-end,~100k ev/s,N/A,N/A,N/A,N/A,N/A,CI: needs Linux VM with kernel 5.15+ — see bench/comparative/INSTALL.md
